listingid,fetch_date,order_date,price,rented
44154394,,2021-05-06,2299,False
44154925,,2021-05-06,350,False
44138989,,2021-05-06,83,False
44157086,,2021-05-06,2299,False
44141960,2021-03-05,2021-05-06,1190,True
44143482,,2021-05-06,328,False
44128255,,2021-05-06,299,False
44131570,,2021-05-06,300,False
44106003,2021-04-20,2021-05-06,228,True
44092201,,2021-05-06,865,False
44082645,2021-03-05,2021-05-06,658,True
44079794,2021-03-29,2021-05-06,458,True
44076455,,2021-05-06,2400,False
44079194,2021-04-10,2021-05-06,448,True
44076558,,2021-05-06,200,False
44069903,,2021-05-06,300,False
44069910,,2021-05-06,103,False
44052604,2021-05-05,2021-05-06,650,True
44051963,,2021-05-06,110,False
44053323,2021-05-06,2021-05-06,308,True
44052568,2021-05-05,2021-05-06,600,True
44054584,,2021-05-06,300,False
44055007,,2021-05-06,300,False
44055097,2021-05-06,2021-05-06,300,True
44056582,2021-05-06,2021-05-06,400,True
44056659,2021-05-06,2021-05-06,337,True
44040770,2021-04-21,2021-05-06,550,True
44051455,2021-05-06,2021-05-06,400,True
44049713,,2021-05-06,1599,False
44051391,,2021-05-06,270,False
44033621,,2021-05-06,268,False
44033725,2021-04-29,2021-05-06,368,True
44019416,2021-04-28,2021-05-06,188,True
44004896,,2021-05-06,479,False
44005934,2021-03-11,2021-05-06,545,True
44005804,2021-03-05,2021-05-06,399,True
44006525,2021-05-06,2021-05-06,491,True
44006913,2021-03-13,2021-05-06,356,True
44006946,,2021-05-06,588,False
44010013,2021-03-05,2021-05-06,368,True
43990266,2021-03-11,2021-05-06,558,True
43991243,,2021-05-06,688,False
44006617,,2021-05-06,379,False
43994376,2021-04-20,2021-05-06,168,True
43995648,2021-05-06,2021-05-06,400,True
43996173,,2021-05-06,300,False
43963964,2021-04-26,2021-05-06,304,True
43971287,2021-04-17,2021-05-06,299,True
43972328,2021-03-05,2021-05-06,558,True
43972487,2021-03-05,2021-05-06,388,True
43972453,2021-03-05,2021-05-06,508,True
43951931,,2021-05-06,449,False
43953836,,2021-05-06,668,False
43954815,2021-04-29,2021-05-06,299,True
43960950,2021-05-06,2021-05-06,182,True
43952691,,2021-05-06,659,False
43961156,2021-04-13,2021-05-06,320,True
43920923,2021-03-24,2021-05-06,418,True
43921975,,2021-05-06,479,False
43934222,,2021-05-06,100,False
43917997,,2021-05-06,479,False
43918509,2021-04-27,2021-05-06,299,True
43893428,2021-03-05,2021-05-06,199,True
43903987,,2021-05-06,186,False
43878500,2021-03-05,2021-05-06,110,True
43867482,2021-05-06,2021-05-06,310,True
43854343,,2021-05-06,240,False
43854840,,2021-05-06,290,False
43857459,,2021-05-06,321,False
43794703,2021-05-05,2021-05-06,270,True
43771326,2021-05-06,2021-05-06,280,True
43774152,,2021-05-06,278,False
43774026,,2021-05-06,460,False
43748133,,2021-05-06,300,False
43747232,2021-05-06,2021-05-06,300,True
43749938,,2021-05-06,320,False
43764792,2021-03-05,2021-05-06,539,True
43764792,2021-03-05,2021-05-06,539,True
43738179,,2021-05-06,340,False
43731071,2021-04-17,2021-05-06,225,True
43692233,2021-05-06,2021-05-06,399,True
43693272,,2021-05-06,267,False
43684177,2021-04-28,2021-05-06,198,True
43683077,2021-05-06,2021-05-06,368,True
43669478,2021-03-05,2021-05-06,687,True
43669737,,2021-05-06,988,False
43670132,,2021-05-06,1019,False
43670352,2021-03-05,2021-05-06,499,True
43670946,,2021-05-06,988,False
43680396,,2021-05-06,330,False
43657525,2021-04-27,2021-05-06,659,True
43659223,2021-05-06,2021-05-06,598,True
43630181,,2021-05-06,349,False
43618449,,2021-05-06,629,False
43615438,,2021-05-06,899,False
43610050,2021-05-05,2021-05-06,198,True
43599577,2021-03-06,2021-05-06,150,True
43584904,,2021-05-06,479,False
43571008,,2021-05-06,599,False
43584646,2021-03-05,2021-05-06,498,True
43560296,,2021-05-06,226,False
43560110,2021-03-05,2021-05-06,589,True
43547296,,2021-05-06,659,False
43548756,,2021-05-06,498,False
43541012,2021-04-27,2021-05-06,659,True
43519916,2021-05-03,2021-05-06,650,True
43523811,2021-05-04,2021-05-06,288,True
43531987,,2021-05-06,499,False
43511829,,2021-05-06,450,False
43519264,2021-05-06,2021-05-06,310,True
43504399,,2021-05-06,800,False
43508989,,2021-05-06,1288,False
43492372,2021-03-11,2021-05-06,1288,True
43455144,2021-05-03,2021-05-06,650,True
43444701,2021-05-03,2021-05-06,428,True
43461238,2021-03-24,2021-05-06,489,True
43461253,2021-03-24,2021-05-06,518,True
43439955,2021-04-06,2021-05-06,468,True
43439955,2021-04-06,2021-05-06,468,True
43439955,2021-04-06,2021-05-06,468,True
43429547,2021-03-24,2021-05-06,306,True
43426031,2021-03-24,2021-05-06,506,True
43406964,2021-03-04,2021-05-06,253,True
43424180,,2021-05-06,568,False
43407719,2021-05-05,2021-05-06,238,True
43399430,,2021-05-06,69,False
43392676,2021-04-20,2021-05-06,300,True
43383308,,2021-05-06,640,False
43383501,2021-03-05,2021-05-06,550,True
43375555,,2021-05-06,629,False
43346686,2021-03-21,2021-05-06,160,True
43336734,,2021-05-06,150,False
43353654,2021-05-06,2021-05-06,130,True
43329004,2021-04-30,2021-05-06,554,True
43330150,2021-05-04,2021-05-06,190,True
43317708,,2021-05-06,298,False
43319819,2021-03-05,2021-05-06,618,True
43319866,2021-03-05,2021-05-06,768,True
43320003,2021-03-05,2021-05-06,698,True
43308242,2021-03-10,2021-05-06,400,True
43315904,,2021-05-06,7000,False
43319926,2021-03-05,2021-05-06,698,True
43319926,2021-03-05,2021-05-06,698,True
43303009,,2021-05-06,638,False
43303938,,2021-05-06,638,False
43304206,,2021-05-06,638,False
43305792,,2021-05-06,1100,False
